,month,start_1960,start_1961,start_1962,start_1963,start_1964,start_1965,start_1966,start_1967,start_1968,start_1969,comparison_1940_1957
0,1,0.03078206069767475,0.030925488099455833,0.030604824423789978,0.030267629772424698,0.030468519777059555,0.030510244891047478,0.03033282794058323,0.03016531467437744,0.030082397162914276,0.030079230666160583,0.03000027872622013
1,2,0.0374348908662796,0.03757301717996597,0.03747522458434105,0.03695929795503616,0.03702336549758911,0.036941125988960266,0.036827296018600464,0.036556459963321686,0.036436472088098526,0.03625857084989548,0.036583513021469116
2,3,0.04313080385327339,0.0432787649333477,0.04329945519566536,0.04266468435525894,0.042392902076244354,0.04207954928278923,0.04213849827647209,0.04167988896369934,0.04129807651042938,0.04116266965866089,0.042833633720874786
3,4,0.04638545960187912,0.04647113382816315,0.046298883855342865,0.04572703689336777,0.0449344702064991,0.044453252106904984,0.044560398906469345,0.044072333723306656,0.04330141842365265,0.04288633540272713,0.04502413794398308
4,5,0.02940453216433525,0.029651757329702377,0.029384087771177292,0.028775712475180626,0.028081044554710388,0.026979809626936913,0.026736164465546608,0.026459457352757454,0.026059037074446678,0.02532804384827614,0.02636622078716755
5,6,0.003986488562077284,0.0040129488334059715,0.0039942823350429535,0.0038073237519711256,0.0037179822102189064,0.003604288911446929,0.0034263788256794214,0.0033092263620346785,0.003195739584043622,0.0031843376345932484,0.003317591268569231
6,7,0.0001758227008394897,0.00017440442752558738,0.0001742070453474298,0.00016597803914919496,0.00016205495921894908,0.00015636383614037186,0.00013770954683423042,0.00013661169214174151,0.00013511542056221515,0.00013494433369487524,0.00048710303963162005
7,8,0.0002098300465149805,0.00020783088984899223,0.00020750991825480014,0.00020563026191666722,0.0002049097092822194,0.0002223354676971212,0.0002144710742868483,0.00021973141701892018,0.00021535082487389445,0.00021922262385487556,0.00047640036791563034
8,9,0.0010319978464394808,0.0010139773366972804,0.0010111202718690038,0.0009580896003171802,0.0010349166113883257,0.001018368173390627,0.0010471115820109844,0.0010603372938930988,0.001108948141336441,0.0010995467891916633,0.0014573268126696348
9,10,0.006514257751405239,0.006344165652990341,0.006302094552665949,0.006330739241093397,0.0064664725214242935,0.006389674264937639,0.006405454128980637,0.006470083259046078,0.0066606588661670685,0.006645834073424339,0.006184785161167383
10,11,0.014907916076481342,0.014703243970870972,0.014545254409313202,0.014820973388850689,0.014981291256844997,0.01464851200580597,0.014621182344853878,0.014444460161030293,0.014671720564365387,0.014667078852653503,0.01446496695280075
11,12,0.02315535396337509,0.02287054993212223,0.022691385820508003,0.02299494482576847,0.023041121661663055,0.022760862484574318,0.022568413987755775,0.022445328533649445,0.022576726973056793,0.022664325311779976,0.022147081792354584
